acc,precision,recall,auroc,repeat
0.768354,0.7575567,0.7972167,0.8497021,1
0.7623198,0.73491657,0.7945871,0.85070014,1
0.7696177,0.79372823,0.74444443,0.85301816,1
0.75888664,0.7545573,0.7721519,0.84154046,1
0.7474849,0.7482806,0.7376271,0.8407731,1
0.763996,0.7523511,0.7952286,0.85254574,2
0.7559504,0.7350033,0.77376825,0.8453177,2
0.75352114,0.75399363,0.77124184,0.8431192,2
0.759222,0.7713098,0.7415057,0.841043,2
0.7652582,0.7578177,0.7722034,0.8541204,2
0.7623198,0.75641024,0.7819748,0.84145486,3
0.7670131,0.7412678,0.79528105,0.8515897,3
0.76861167,0.7777778,0.76862746,0.84981906,3
0.75083834,0.769943,0.72018653,0.83924556,3
0.7598927,0.7586912,0.75457627,0.848372,3
0.749581,0.76060194,0.73691183,0.8356579,4
0.7418706,0.72807616,0.74323386,0.8357841,4
0.7608987,0.76647097,0.76797384,0.8470329,4
0.74882627,0.75788754,0.7361759,0.83570707,4
0.7468142,0.76865673,0.6983051,0.83499396,4
0.7613141,0.7549584,0.7819748,0.8434591,5
0.7479048,0.76643467,0.68771684,0.84034383,5
0.74413145,0.79659706,0.67320263,0.83695936,5
0.73608315,0.75176305,0.7101932,0.821978,5
0.7354125,0.71599495,0.77084744,0.8296312,5
0.74555814,0.7564979,0.7329357,0.83243394,6
0.7452229,0.7175719,0.77931994,0.83480656,6
0.72702885,0.76957834,0.6679739,0.8187636,6
0.7380952,0.78985506,0.6535643,0.8283868,6
0.7401073,0.76964563,0.6772881,0.83001405,6
0.7251089,0.76157933,0.6646786,0.80868,7
0.72879654,0.74270356,0.67106175,0.8162775,7
0.7253521,0.7566787,0.68496734,0.8175755,7
0.72032195,0.75361216,0.6602265,0.80319846,7
0.71998656,0.72727275,0.6942373,0.8078861,7
0.69057995,0.71139973,0.6534129,0.7697809,8
0.70901775,0.6963674,0.7050659,0.80342364,8
0.6998659,0.74071264,0.6385621,0.7795378,8
0.7025486,0.7456,0.6209194,0.78146505,8
0.7116029,0.747784,0.62915254,0.79386485,8
0.71605766,0.69749403,0.7746852,0.79737204,9
0.7003017,0.66003513,0.7827897,0.7774329,9
0.7186452,0.7168864,0.74640524,0.79906684,9
0.6861167,0.7317473,0.59427047,0.7676417,9
0.7266935,0.696195,0.7938983,0.8015494,9
0.7076768,0.7340191,0.66202784,0.7843207,10
0.6875629,0.72743523,0.5648855,0.76974106,10
0.6898055,0.7605513,0.5771242,0.7743525,10
0.67907447,0.71794873,0.5969354,0.77100813,10
0.66633135,0.69292605,0.5844068,0.7622233,10
