acc,precision,recall,auroc,repeat
0.7023,0.7033,0.7117,0.775,1
0.7013,0.6783,0.7259,0.7771,1
0.6797,0.668,0.7471,0.7583,1
0.6918,0.6832,0.7229,0.7601,1
0.6754,0.6476,0.7539,0.75,1
0.6852,0.6908,0.6839,0.7715,2
0.4831,0.4831,1.0,0.4804,2
0.4966,0.0,0.0,0.4941,2
0.6623,0.6679,0.6312,0.7297,2
0.4831,0.4831,1.0,0.4923,2
0.4869,0.0,0.0,0.4924,3
0.504,0.5037,0.9993,0.4957,3
0.505,0.4444,0.0027,0.5687,3
0.4941,0.0,0.0,0.4896,3
0.5169,0.0,0.0,0.5572,3
0.4869,0.0,0.0,0.53,4
0.5054,0.0,0.0,0.4947,4
0.5059,0.5059,1.0,0.4973,4
0.4869,0.0,0.0,0.4808,4
0.4963,0.0,0.0,0.4936,4
0.4946,0.4946,1.0,0.4743,5
0.6601,0.6673,0.6541,0.7309,5
0.5169,0.0,0.0,0.5156,5
0.5131,0.5131,1.0,0.5037,5
0.6579,0.6543,0.6795,0.7361,5
0.5054,0.0,0.0,0.4862,6
0.5059,0.5059,1.0,0.5,6
0.4831,0.4831,1.0,0.5015,6
0.4869,0.0,0.0,0.4907,6
0.5034,0.5034,1.0,0.4928,6
0.5059,0.5059,1.0,0.5069,7
0.4831,0.4831,1.0,0.4869,7
0.4869,0.0,0.0,0.4955,7
0.5034,0.5034,1.0,0.4796,7
0.4941,0.0,0.0,0.4985,7
0.5169,0.0,0.0,0.4865,8
0.5131,0.5131,1.0,0.5118,8
0.5034,0.5034,1.0,0.5036,8
0.4946,0.4946,1.0,0.4799,8
0.4941,0.0,0.0,0.4982,8
0.5169,0.0,0.0,0.48,9
0.5034,0.5034,1.0,0.4877,9
0.4946,0.4946,1.0,0.4948,9
