acc,precision,recall,auroc,repeat
0.5059,0.5059,1.0,0.4701,1
0.5169,0.0,0.0,0.5,1
0.4869,0.0,0.0,0.5084,1
0.4966,0.0,0.0,0.5,1
0.5054,0.0,0.0,0.4996,1
0.4941,0.0,0.0,0.4942,2
0.4831,0.4831,1.0,0.5,2
0.4869,0.0,0.0,0.4987,2
0.4966,0.0,0.0,0.5,2
0.4946,0.4946,1.0,0.5,2
0.5059,0.5059,1.0,0.4851,3
0.4831,0.4831,1.0,0.5,3
0.5131,0.5131,1.0,0.5002,3
0.4966,0.0,0.0,0.5,3
0.5054,0.0,0.0,0.5,3
0.5059,0.5059,1.0,0.5,4
0.5169,0.0,0.0,0.4821,4
0.4869,0.0,0.0,0.5,4
0.4966,0.0,0.0,0.5014,4
0.5054,0.0,0.0,0.5,4
0.4941,0.0,0.0,0.5209,5
0.4831,0.4831,1.0,0.5,5
0.5131,0.5131,1.0,0.5,5
0.5034,0.5034,1.0,0.5029,5
0.5054,0.0,0.0,0.4973,5
0.5059,0.5059,1.0,0.5,6
0.5169,0.0,0.0,0.4661,6
0.5131,0.5131,1.0,0.5099,6
0.5034,0.5034,1.0,0.5,6
0.4946,0.4946,1.0,0.5,6
0.5059,0.5059,1.0,0.5,7
0.5169,0.0,0.0,0.5,7
0.4869,0.0,0.0,0.4903,7
0.4966,0.0,0.0,0.5,7
0.4946,0.4946,1.0,0.5,7
0.4941,0.0,0.0,0.4969,8
0.5169,0.0,0.0,0.5092,8
0.5131,0.5131,1.0,0.5205,8
0.4966,0.0,0.0,0.502,8
0.5054,0.0,0.0,0.4997,8
0.4941,0.0,0.0,0.4723,9
0.5169,0.0,0.0,0.4812,9
0.5131,0.5131,1.0,0.5,9
0.4966,0.0,0.0,0.4906,9
0.4946,0.4946,1.0,0.5,9
0.4941,0.0,0.0,0.4926,10
0.4831,0.4831,1.0,0.5,10
0.4869,0.0,0.0,0.4684,10
0.4966,0.0,0.0,0.5084,10
0.5054,0.0,0.0,0.5016,10
